FBI1;FBI2;FBI3;FBI4;FBI5;FBI6;FBI7;FBI8;MSFU1;MSFU2;MSFU3;MSFU4;MSFU5;MSFU6;MSFU7;MSFU8;MSFU9;MSFU10;COMF1;COMF2;COMF3;COMF4;COMF5;COMF6;COMF7;COMF8;COMF9;COMF10;COMF11;RSES1;RSES2;RSES3;RSES4;RSES5;RSES6;RSES7;RSES8;RSES9;RSES10;CSS1;CSS2;CSS3;CSS4;CSS5;CSS6;CSS7;CSS8;CSS9;CSS10;CSS11;CSS12;CSS13;CSS14;CSS15;RRS1;RRS2;RRS3;RRS4;RRS5;RRS6;RRS7;RRS8;RRS9;RRS10;RRS11;RRS12;RRS13;RRS14;RRS15;RRS16;RRS17;RRS18;RRS19;RRS20;RRS21;RRS22;DASS1;DASS2;DASS3;DASS4;DASS5;DASS6;DASS7;DASS8;DASS9;DASS10;DASS11;DASS12;DASS13;DASS14;DASS15;DASS16;DASS17;DASS18;DASS19;DASS20;DASS21;FBI;MSFUP;MSFUaprivate;MSFUapublic;COMF;CSS;RSES;RRS;DASS_stress;DASS_anxiety;DASS_depression
4;4;3;3;4;3;120;500;4;4;4;5;4;5;6;5;3;4;4;3;3;4;3;3;4;3;4;2;3;1;1;1;2;1;3;1;2;2;2;3;2;2;3;3;2;3;3;3;2;3;3;3;3;3;3;2;3;4;2;3;3;2;3;3;2;2;2;3;1;3;3;3;2;2;3;3;2;2;1;2;1;2;2;1;1;2;2;2;1;1;2;2;3;2;2;1;2;21;17;11;12;36;41;16;57;12;12;12
5;3;4;5;3;4;541;25;7;5;4;5;4;6;6;1;2;2;4;3;4;4;2;4;3;2;4;4;4;3;3;3;3;3;3;3;2;3;3;3;2;2;4;5;5;4;4;3;3;4;2;2;5;4;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;24;18;12;5;38;52;29;24;1;1;0
2;1;2;1;1;1;70;10;4;2;1;1;1;2;2;1;1;1;4;1;1;1;1;4;1;1;1;4;4;0;0;0;1;0;0;0;2;0;0;2;5;3;3;2;4;2;4;4;3;4;4;4;4;5;2;1;2;2;1;4;3;4;1;2;2;1;2;1;1;2;2;4;4;3;2;2;0;0;1;0;1;1;0;0;0;2;1;1;1;1;0;1;1;1;0;0;2;8;5;4;3;23;53;3;48;5;0;9
4;3;5;4;2;2;450;300;7;5;3;5;4;7;7;1;2;1;4;4;3;4;4;4;3;4;2;4;2;2;1;2;3;2;1;2;1;2;2;5;4;5;2;4;3;2;4;4;4;3;5;3;4;3;2;1;1;2;1;2;1;1;1;2;1;1;3;1;2;3;1;3;1;2;1;2;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;20;17;14;4;38;55;18;35;2;2;4
2;3;3;2;2;2;203;30;3;4;3;4;4;3;4;3;4;4;2;3;2;3;2;3;2;3;2;3;2;2;2;1;1;1;2;2;2;2;2;2;2;3;3;2;2;4;3;3;3;2;2;4;3;3;2;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;15;7;11;27;41;17;29;0;0;0
5;3;5;5;3;4;250;90;7;2;2;4;2;5;5;5;4;4;3;2;3;2;4;4;3;4;4;4;5;0;1;2;0;1;0;1;1;1;2;4;5;4;5;4;4;5;4;5;4;4;4;4;4;5;3;3;4;4;3;3;2;1;4;3;3;1;4;3;4;3;2;3;4;2;3;4;1;3;0;2;2;1;2;2;1;1;2;2;1;1;2;1;2;2;3;2;1;25;10;10;13;38;65;9;66;11;15;8
5;3;5;4;2;3;401;120;7;6;6;5;5;5;5;3;3;5;4;4;2;2;5;4;2;4;5;4;2;2;2;3;2;2;2;3;3;3;3;3;2;5;4;4;3;1;4;5;1;4;4;2;1;5;3;2;2;2;1;1;2;1;1;2;3;2;3;3;1;3;2;2;2;2;3;2;0;0;0;0;1;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;22;22;10;11;38;48;25;45;3;0;2
4;2;4;2;2;3;60;75;6;3;2;4;2;2;1;2;2;3;4;3;4;2;3;3;2;4;2;3;3;2;1;2;2;2;1;2;1;2;2;4;4;4;3;5;4;3;4;4;4;4;4;3;4;4;2;1;2;2;3;2;3;1;3;2;2;1;1;2;3;2;2;3;2;2;1;2;0;1;1;1;2;1;0;0;0;1;1;0;1;2;0;1;2;1;1;1;2;17;11;3;7;33;58;17;44;5;4;10
5;4;4;5;3;5;125;180;7;5;5;6;5;5;4;6;5;4;4;3;3;2;3;5;4;3;4;5;4;2;3;2;2;3;3;2;2;3;2;5;3;4;4;5;4;4;5;4;3;5;4;4;4;5;2;1;2;3;2;2;2;1;2;1;2;1;2;1;3;1;1;1;2;1;2;1;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;1;0;26;21;9;15;40;63;24;36;6;1;5
5;3;5;4;4;1;200;60;6;6;6;6;6;6;6;5;6;5;4;4;4;5;4;5;3;3;4;5;4;1;1;1;1;1;1;2;0;0;1;4;2;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;0;2;2;3;3;2;2;2;3;2;3;3;2;2;3;3;2;2;2;3;22;24;12;16;45;59;9;88;17;12;20
