FBI;COMF;RSES;RRS;CSS;MSFU_Passive;MSFU_Private;MSFU_Public;Stress;Anxiety;Depression
22;31;23;42;48;12;11;6;10;10;3
12;38;14;65;59;13;4;3;5;2;11
23;44;23;47;51;16;12;3;4;4;5
14;53;14;72;61;12;4;3;12;11;8
25;37;15;51;55;13;14;9;9;2;7
14;17;16;43;41;11;8;3;2;1;7
25;40;17;41;51;24;14;14;3;0;0
22;31;10;61;48;18;14;5;8;6;13
26;50;17;46;68;15;14;12;1;0;2
25;39;25;31;50;15;10;8;3;0;3
12;29;11;73;62;8;4;3;6;3;14
26;42;15;66;62;24;14;6;13;8;8
19;30;21;50;60;12;4;3;2;2;9
16;36;21;40;50;11;14;6;9;6;7
21;23;24;59;40;13;7;7;7;5;6
17;42;19;62;55;16;10;3;11;1;13
29;40;13;65;52;24;14;16;12;12;14
20;42;8;61;61;9;14;6;17;12;16
15;27;13;35;39;17;8;6;1;0;12
14;30;16;44;58;17;11;11;7;5;4
16;37;26;51;41;11;5;5;10;8;4
24;41;15;43;57;13;14;8;4;4;3
19;29;15;56;50;14;14;6;11;10;10
8;11;30;23;41;7;2;6;0;0;0
21;33;2;23;34;15;10;6;2;0;0
21;43;19;61;56;21;6;15;11;4;6
8;18;17;43;49;11;14;6;4;1;5
28;28;20;45;66;10;14;5;9;3;3
20;38;9;58;57;18;12;8;14;7;15
16;29;27;32;40;18;12;6;3;3;3
20;44;28;60;52;10;4;7;11;0;6
25;40;19;58;62;14;10;8;11;6;4
18;31;19;49;48;18;14;4;3;3;5
22;38;15;52;56;15;10;6;2;1;6
23;43;22;45;40;21;12;15;9;10;10
22;25;17;46;53;8;4;8;7;6;7
27;42;19;50;55;20;14;14;6;1;3
24;31;19;51;46;24;14;13;11;10;2
23;37;18;44;51;15;11;15;9;10;4
22;27;19;23;51;16;8;5;0;0;0
21;32;10;78;44;21;14;6;16;16;21
10;33;16;52;49;6;10;3;7;10;9
19;33;19;54;55;12;14;13;2;3;1
